recommend_date,rank,stock_id,stock_name,total_score,current_price,forward_eps,eps_growth_pct,price_5d,return_5d_pct,price_20d,return_20d_pct,price_60d,return_60d_pct,hot_tags,recommendation
2026-07-17,1,6505,台塑化,65.3,81.3,,,,,,,,,,歷史回補
2026-07-17,2,2408,南亞科,57.0,395.5,,,,,,,,,,歷史回補
2026-07-17,3,8299,群聯,56.3,1785.0,,,,,,,,,,歷史回補
2026-07-16,1,6505,台塑化,65.1,80.0,,,,,,,,,,歷史回補
2026-07-16,2,2408,南亞科,60.0,439.0,,,,,,,,,,歷史回補
2026-07-16,3,6770,力積電,60.0,76.5,,,,,,,,,,歷史回補
2026-07-15,1,6505,台塑化,65.3,72.8,,,,,,,,,,歷史回補
2026-07-15,2,2408,南亞科,64.1,481.0,,,,,,,,,,歷史回補
2026-07-15,3,2382,廣達,61.7,365.4,,,,,,,,,,歷史回補
2026-07-14,1,6505,台塑化,64.0,66.2,,,,,,,,,,歷史回補
2026-07-14,2,2408,南亞科,63.1,448.0,,,,,,,,,,歷史回補
2026-07-14,3,2382,廣達,61.9,364.44,,,,,,,,,,歷史回補
2026-07-13,1,6505,台塑化,62.3,63.1,,,,,,,,,,歷史回補
2026-07-13,2,2382,廣達,61.3,362.52,,,,,,,,,,歷史回補
2026-07-13,3,2408,南亞科,56.2,423.0,,,,,,,,,,歷史回補
2026-07-10,1,2408,南亞科,63.3,435.5,,,481.0,10.447761194029859,,,,,,歷史回補
2026-07-10,2,2382,廣達,59.6,358.21,,,365.4,2.0072024789927756,,,,,,歷史回補
2026-07-10,3,6505,台塑化,57.5,58.8,,,72.8,23.809523809523814,,,,,,歷史回補
2026-07-09,1,2408,南亞科,63.7,435.5,,,448.0,2.870264064293915,,,,,,歷史回補
2026-07-09,2,2382,廣達,60.2,358.21,,,364.44,1.7392032606571517,,,,,,歷史回補
2026-07-09,3,6505,台塑化,59.0,58.8,,,66.2,12.585034013605444,,,,,,歷史回補
2026-07-08,1,6505,台塑化,61.0,59.4,,,63.1,6.228956228956228,,,,,,歷史回補
2026-07-08,2,2382,廣達,60.9,361.56,,,362.52,0.2655160969133652,,,,,,歷史回補
2026-07-08,3,2408,南亞科,54.9,396.0,,,423.0,6.818181818181812,,,,,,歷史回補
2026-07-07,1,2382,廣達,60.2,357.73,,,358.21,0.13417940905151582,,,,,,歷史回補
2026-07-07,2,6505,台塑化,55.8,58.0,,,58.8,1.379310344827589,,,,,,歷史回補
2026-07-07,3,2408,南亞科,55.1,403.0,,,435.5,8.064516129032251,,,,,,歷史回補
2026-07-06,1,2382,廣達,63.6,362.52,,,358.21,-1.1888999227628871,,,,,,歷史回補
2026-07-06,2,6505,台塑化,59.2,59.5,,,58.8,-1.176470588235301,,,,,,歷史回補
2026-07-06,3,2408,南亞科,59.0,419.15,,,435.5,3.9007515209352306,,,,,,歷史回補
2026-07-03,1,2382,廣達,64.8,361.56,,,361.56,0.0,,,,,,歷史回補
2026-07-03,2,8299,群聯,60.1,2295.0,,,2140.0,-6.753812636165579,,,,,,歷史回補
2026-07-03,3,5483,中美晶,58.7,210.5,,,208.0,-1.187648456057011,,,,,,歷史回補
2026-07-02,1,3711,日月光投控,59.6,720.42,,,651.0,-9.6360456400433,,,,,,歷史回補
2026-07-02,2,2382,廣達,59.6,353.89,,,357.73,1.0850829353754143,,,,,,歷史回補
2026-07-02,3,6505,台塑化,57.8,57.6,,,58.0,0.694444444444442,,,,,,歷史回補
2026-07-01,1,3037,欣興,61.6,1037.87,,,917.0,-11.645967221328291,,,,,,歷史回補
2026-07-01,2,5483,中美晶,58.3,198.0,,,209.5,5.808080808080818,,,,,,歷史回補
2026-07-01,3,6213,聯茂,57.9,357.0,,,396.0,10.924369747899165,,,,,,歷史回補
2026-06-30,1,8299,群聯,61.5,2385.0,,,2295.0,-3.7735849056603765,,,,,,歷史回補
2026-06-30,2,3037,欣興,61.3,1067.81,,,967.02,-9.438945130688037,,,,,,歷史回補
2026-06-30,3,6213,聯茂,58.6,367.41,,,394.0,7.237146512070969,,,,,,歷史回補
2026-06-29,1,8299,群聯,58.9,2323.04,,,2295.0,-1.2070390522763264,,,,,,歷史回補
2026-06-29,2,2408,南亞科,57.8,451.55,,,408.19,-9.602480345476694,,,,,,歷史回補
2026-06-29,3,6770,力積電,57.4,78.9,,,73.4,-6.970849176172367,,,,,,歷史回補
2026-06-26,1,2408,南亞科,60.2,447.56,,,419.65,-6.236035391902773,439.0,-1.9125927249977637,,,,歷史回補
2026-06-26,2,6213,聯茂,59.2,343.61,,,357.0,3.896859811996145,325.0,-5.4160239806757655,,,,歷史回補
2026-06-26,3,6770,力積電,58.9,78.3,,,74.3,-5.108556832694767,76.5,-2.298850574712641,,,,歷史回補
